"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"BOLD_bin"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Agromyzidae_cluster107"	"0c1eb7a1de3a50e1ec6552adef0d578e"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Amauromyza"	"Amauromyza flavifrons"	"BOLD:AAR3672"	0	0	0	0	0	0	0	1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster111"	"c0eccdb77cebffa50b70b2e79e0d51e8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	"Cerodontha_X"	"BOLD:ACD2794"	0	2437	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster117"	"98b07203b8390b612c469830130b993f"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyzidae_X"	"Agromyzidae_XX"	"unclassified.Agromyzidae_XX"	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster118"	"863cba725d9d28556de018607b1ea10b"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	"Ophiomyia_X"	"BOLD:ACP6201"	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster119"	"498c14910442a3f1ebda4cecb171b657"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	"Cerodontha_X"	"BOLD:ADX4965"	0	0	0	0	1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster12"	"55968978a98823a519add2fe1a4cee99"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Phytomyza"	"Phytomyza crassiseta"	"BOLD:AAL4268"	0	0	440	0	0	11684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster120"	"79a8e9487a8ffada0e267d2d13dc0df6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"unclassified.Agromyzidae"	"unclassified.Agromyzidae"	"unclassified.Agromyzidae"	0	0	0	0	0	0	0	2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster123"	"a14b67d40f15d7f533155aa0c2ddf125"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyzidae_X"	"Agromyzidae_XX"	"BOLD:ACM7219"	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster126"	"c4e9899eb56b0177d6fe55dbcf9fedf8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	"Ophiomyia_X"	"BOLD:ACP5104"	0	0	0	0	0	0	0	679	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster129"	"4a7efc6f3b4ee4a1640cf7bfc00e6cbb"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Liriomyza"	"Liriomyza ptarmicae"	"BOLD:ACD3086"	0	0	0	223	0	0	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
