"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCECHR"	"SK91LD"	"SQQBCH"	"SCFYMN"	"SM6D3B"	"SSY7BM"	"SDD4G5"	"ST2SCC"	"SQ1CGZ"	"SUNVYF"	"S6TGBG"	"SKVHMG"	"SZNYJX"	"SQYDDG"	"SHLY4A"	"SFKMCD"	"SKA8NJ"	"SZCD49"	"SSJSP9"	"SGZUHD"	"SWKRGL"	"SUTTXP"	"SASQEH"	"SUXVVU"	"SNYBEM"	"SCNXZK"	"S8APX1"	"SBWPUY"	"SC1YIM"	"SACBBR"	"S5MEZA"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SLWUQ2"	"SY34ZS"
"Agromyzidae_cluster92"	"abef7faa92bfd0b8fcf1949e9a29e7a4"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Gymnophytomyza"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster1"	"70a95c241a707d7855fbffde0ba92dd7"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Aleyrodes"	0	0	0	0	0	110	2	0	0	0	0	0	0	10	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster2"	"54643c29315830822cfbd6f73f8a7e9d"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Aleuroclava"	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster6"	"74c8fe0acbaa1f7564a8345053be0861"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Bemisia"	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amaurobiidae_cluster1"	"65f5bb747d4d0e1e32aa07967804afd0"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Amaurobiidae"	"Amaurobius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5412	0	0	0	0	0	0	111	0	0	0	0	0
"Ameletidae_cluster1"	"32db58f61206a2616c4e28dd2b114c6b"	"Animalia"	"Arthropoda"	"Insecta"	"Ephemeroptera"	"Ameletidae"	"Ameletus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsocidae_cluster1"	"bbd215e4612b99d70909dcc0f29be073"	"Animalia"	"Arthropoda"	"Insecta"	"Psocodea"	"Amphipsocidae"	"Kolbia"	0	183	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrenidae_cluster12"	"8bd7974fb1a862db0ca10db841afe34a"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	"Andrena"	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27930
"Anisopodidae_cluster1"	"7341376c330a26584f01413f9256eb87"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anisopodidae"	"Sylvicola"	0	1609	964	0	0	0	0	0	60	9015	0	0	7605	0	0	116	310	0	0	0	35092	0	0	0	0	7093	36634	13278	0	55596	19121	6138	9646	5264	17983	0	91003	24841	2724	22023
"Anobiidae_cluster1"	"dfb7c5d5d93d45ee05f3de2bcbfb216a"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anobiidae"	"Ernobius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0
