"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SCFYMN"	"SKVHMG"	"SDD4G5"	"SFKMCD"	"SM6D3B"	"SQYDDG"	"SHLY4A"	"SKA8NJ"	"SASQEH"	"ST2SCC"	"SSJSP9"	"SZCD49"	"SK91LD"	"SQ1CGZ"	"SZNYJX"	"S6TGBG"	"SCECHR"	"SUNVYF"	"SWKRGL"	"SGZUHD"	"SUXVVU"	"SSY7BM"	"SNYBEM"	"SQQBCH"	"SUTTXP"	"S8APX1"	"SLWUQ2"	"S5MEZA"	"SY34ZS"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SCNXZK"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SBWPUY"	"SC1YIM"	"SACBBR"
"Agromyzidae_cluster76"	"fdffe96f7aaca6b34d22c307f004f4cf"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Nemorimyza"	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster92"	"abef7faa92bfd0b8fcf1949e9a29e7a4"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Gymnophytomyza"	0	0	28	1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster1"	"70a95c241a707d7855fbffde0ba92dd7"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Aleyrodes"	0	0	6	0	0	4	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster2"	"54643c29315830822cfbd6f73f8a7e9d"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Aleuroclava"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aleyrodidae_cluster6"	"74c8fe0acbaa1f7564a8345053be0861"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Aleyrodidae"	"Bemisia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amaurobiidae_cluster1"	"65f5bb747d4d0e1e32aa07967804afd0"	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	"Amaurobiidae"	"Amaurobius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2529	0	0	0	2895	0	0
"Ameletidae_cluster1"	"32db58f61206a2616c4e28dd2b114c6b"	"Animalia"	"Arthropoda"	"Insecta"	"Ephemeroptera"	"Ameletidae"	"Ameletus"	0	0	0	0	0	0	0	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsocidae_cluster1"	"bbd215e4612b99d70909dcc0f29be073"	"Animalia"	"Arthropoda"	"Insecta"	"Psocodea"	"Amphipsocidae"	"Kolbia"	0	0	0	0	0	0	0	0	0	0	0	0	14419	0	0	0	0	0	0	2001	0	3869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrenidae_cluster2"	"2d7d35b8bdf640367dfa46454103266f"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Andrenidae"	"Andrena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0
"Anisopodidae_cluster1"	"7341376c330a26584f01413f9256eb87"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anisopodidae"	"Sylvicola"	0	0	0	1076	0	0	0	3149	0	0	0	0	8243	378	12604	0	0	50187	58763	0	0	0	0	919	0	43567	2107	24708	55585	10439	39941	2547	14543	91000	0	225299	156536	74321	0	45152
"Anobiidae_cluster5"	"cd52b1988d679d303ee31280256c0120"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anobiidae"	"Dorcatoma"	0	0	0	37	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthicidae_cluster1"	"347a4cea1f057519e7d3dfbdf02f57a6"	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Anthicidae"	"Notoxus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster1"	"5974f4c8e60fe3602707f472e3d5e02c"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Anthocoris"	0	0	0	0	4	0	2840	0	0	0	0	0	3330	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster15"	"aa2a9efe0d365cebdb1635ec839b22e4"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Orius"	0	0	0	0	0	0	0	114	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster5"	"4572268ebec47d9ff2d13764e5e166e6"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Temnostethus"	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthocoridae_cluster6"	"d5aea9f234c4a911f42c1c7da7725066"	"Animalia"	"Arthropoda"	"Insecta"	"Hemiptera"	"Anthocoridae"	"Acompocoris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster1"	"df166ecd01ca78133b4f6698d287e1b4"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Delia"	0	0	10727	8544	128557	105770	622	16100	1501	0	0	398	740	5127	0	0	0	7	0	0	49216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster10"	"608928b91503315ec66c5b64540df2f8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Emmesomyia"	1372	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster101"	"3a8c7a73216c34300ab394b4bf790b23"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Anthomyiidae_X"	0	0	0	0	0	0	514	0	3304	0	0	2083	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster11"	"520750716c82a5ef13e84d8a6abb0b5d"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Botanophila"	0	6807	2	0	0	0	0	0	0	0	0	10	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster13"	"aaf73d1643aafe0cf3688579dcfbce41"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Alliopsis"	0	0	0	0	0	0	190	0	149	0	0	6849	0	0	0	0	0	2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster144"	"b6c14129aca65df92f6d5c2557853b32"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Chirosia"	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster15"	"2e98252f4c48a4afbc46a6934b8490f1"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Lasiomma"	0	0	827	16526	24317	1133	2737	3952	3568	940	916	0	0	10114	0	0	0	333	0	12764	0	0	0	0	6374	0	1854	38031	108638	22843	15751	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster168"	"84ee4354869e4964cd45d2f24e4b62f0"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Heterostylodes"	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster17"	"49d77feca95403945b9ea48a47449276"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Hylemya"	1823	0	0	1879	73250	0	0	19439	0	0	0	141	3882	31071	0	0	0	940	0	0	0	8859	0	60	0	0	0	0	0	0	0	0	0	0	0	0	36424	0	0	0
"Anthomyiidae_cluster18"	"fd657120d597050ca60395b7eff4b966"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Pegomya"	17133	0	1638	4107	2682	8736	70311	40305	0	0	31193	1684	111419	24209	0	7119	7317	16852	14875	89119	5424	0	0	0	0	89	17424	0	0	0	0	0	0	130898	0	645	11201	70286	0	4185
"Anthomyiidae_cluster23"	"ac1fe4e7ce56bfbfb697c58de30e4ff6"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Adia"	0	0	0	0	4294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster24"	"f6bdcb6c4dd93b5ba5beb78734070449"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Anthomyia"	1407	62780	0	6620	18027	5951	24	21701	0	0	0	0	0	55838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster3"	"3a699547121bb1b4f4d683186681f084"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Hydrophoria"	0	38246	0	2623	25186	0	12073	0	0	0	6929	2183	5189	5702	0	13521	0	21885	0	43	0	18164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthomyiidae_cluster32"	"4f24df5466d6c54b137c25a30c0eafbf"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Anthomyiidae"	"Eustalomyia"	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	7696	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
