"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"present"	"cluster"	"ASV"	"Kingdom"	"reads"
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SBWPUY"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	34
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SCECHR"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	375
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SCNXZK"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	13670
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SDD4G5"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	183
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SFKMCD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	320
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SGZUHD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	728
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SHLY4A"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	15692
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SK91LD"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	785
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKA8NJ"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	560
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKVHMG"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	5005
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SKYQAL"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	8078
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SM6D3B"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	1390
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SQ1CGZ"	1	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	26787
"Bradysia"	"Arthropoda"	"Insecta"	"Diptera"	"Sciaridae"	"SQYDDG"	0	"Sciaridae_cluster100"	"ecc79bdaec49ac8d6e478b41187a9a74"	"Animalia"	564
