"Genus"	"Phylum"	"Class"	"Order"	"Family"	"variable"	"cluster"	"ASV"	"Kingdom"	"present"	"lys_reads"	"hom_reads"
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"S6TGBG"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	0	2545	1369
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SFKMCD"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1	0	5128
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SHLY4A"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	0	59	11
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SKVHMG"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1	67176	30901
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SM6D3B"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1	10336	45276
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SQ1CGZ"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1	17488	12212
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SQYDDG"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	0	1986	3014
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SSJSP9"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	0	1020	238
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SUXVVU"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	1	45449	198861
"Cantharis"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cantharidae"	"SZCD49"	"Cantharidae_cluster12"	"99097d64bb866f16fa43f96d0dc65e60"	"Animalia"	0	174	134
"Carcina"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Oecophoridae"	"ST2SCC"	"Oecophoridae_cluster1"	"1d96ad65ffb89aac664dee93b5fddede"	"Animalia"	1	55873	2892
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"S6TGBG"	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	1	10431	8402
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SDD4G5"	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	1	4624	12967
"Charanyca"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Noctuidae"	"SQYDDG"	"Noctuidae_cluster19"	"274cca29fc7e02f850202c30d5a6c8ad"	"Animalia"	1	12555	22355
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"S8APX1"	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	0	22	0
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SCFYMN"	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	1	2575	6501
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SHLY4A"	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	0	70	223
"Cheilosia"	"Arthropoda"	"Insecta"	"Diptera"	"Syrphidae"	"SQ1CGZ"	"Syrphidae_cluster16"	"9e60af79ddca500a64cb460c73b9248f"	"Animalia"	0	0	689
