"cluster"	"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"BOLD_bin"	"SCECHR"	"SK91LD"	"SQQBCH"	"SCFYMN"	"SM6D3B"	"SSY7BM"	"SDD4G5"	"ST2SCC"	"SQ1CGZ"	"SUNVYF"	"S6TGBG"	"SKVHMG"	"SZNYJX"	"SQYDDG"	"SHLY4A"	"SFKMCD"	"SKA8NJ"	"SZCD49"	"SSJSP9"	"SGZUHD"	"SWKRGL"	"SUTTXP"	"SASQEH"	"SUXVVU"	"SNYBEM"	"SCNXZK"	"S8APX1"	"SBWPUY"	"SC1YIM"	"SACBBR"	"S5MEZA"	"STHFJP"	"SKYQAL"	"SIRUBH"	"SUXEKB"	"SQVR9H"	"SIUQ3G"	"SG3CB2"	"SLWUQ2"	"SY34ZS"
"Acrididae_cluster55"	"f56b5fe32e16de677a430cb1c0c4a0e7"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster63"	"cc29c5df63963e072ee018151b055851"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster9"	"3896bfff2673f5fb1043f68ce129bf74"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acrididae_cluster98"	"14acd83da13e4209b1c4464e0b45c956"	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	"unclassified.Acrididae"	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster13"	"25414cd63357abe4b4e0981c0888ca31"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	"Nemophora bellella"	"BOLD:ACE9215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adelidae_cluster7"	"633702c4278d9d36a35aef85604d47b6"	"Animalia"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Adelidae"	"Nemophora"	"Nemophora degeerella"	"BOLD:AAC1892"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster1"	"23ef9f59c47941fc91f3ab26260ef025"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips fasciatus"	"BOLD:AAU0577"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster2"	"2d36ccc03be282ca2bec9eeff8736097"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips_X"	"BOLD:ACM1798"	0	0	0	0	0	0	0	0	0	0	0	50	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeolothripidae_cluster7"	"31e2e008e14d4620d508533e2ee6d88e"	"Animalia"	"Arthropoda"	"Insecta"	"Thysanoptera"	"Aeolothripidae"	"Aeolothrips"	"Aeolothrips intermedius"	"BOLD:ACD4587"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster1"	"12e8563aa8e274d3efc52ca8e3af0720"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	"Agromyza nigripes"	"BOLD:ACD3364"	0	0	0	0	0	0	0	0	0	0	0	0	0	1976	0	31	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster10"	"1e9d91996ade9beb1166292db3e3ed3c"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyza"	"Agromyza anthracina"	"BOLD:ACD3502"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster100"	"8ccc32e6b4c565254f3a119a2c7981dc"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Ophiomyia"	"Ophiomyia cunctata"	"BOLD:ACD8805"	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster104"	"a2cf0a254a869a185df6bbbd255b3523"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	"Cerodontha muscina"	"BOLD:ACF7184"	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster107"	"0c1eb7a1de3a50e1ec6552adef0d578e"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Amauromyza"	"Amauromyza flavifrons"	"BOLD:AAR3672"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster111"	"c0eccdb77cebffa50b70b2e79e0d51e8"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Cerodontha"	"Cerodontha_X"	"BOLD:ACD2794"	0	0	0	0	0	0	0	0	109	0	0	1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agromyzidae_cluster117"	"98b07203b8390b612c469830130b993f"	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Agromyzidae"	"Agromyzidae_X"	"Agromyzidae_XX"	"unclassified.Agromyzidae_XX"	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
